ego	alter	pair	ell	t0ix	tfix	nix	stE	E
0xee	-0x3f5597f39c58a6fa	-0x12d27f11684d9198	0	321	607	1	0	0
0x41	0x597734622ece2952	-0x12d36e9d417886b7	0	131	131	1	0	0
0x5b	-0x1db15e14414dd01e	-0x12d594473fd19419	0	78	84	1	0	0
0x53	-0x75ad7bb27a1a37ba	-0x12d5da5ad8a7ed7b	0	358	358	1	1	1
0x2d	-0x60bc9a5e1a95a1c8	-0x12d9466d2c6b8fc0	33	443	502	2	0	0
0x30	-0x149ace3de68be7d0	-0x12e131066d28afdd	20	51	91	2	1	0
0x51	0x289847d99fece2e9	-0x12e8c7b15b5219f8	0	279	280	1	0	0
0x44	-0x6d3adf8f1509c028	-0x12efc8e93c477add	2	379	386	2	0	1
0x20	-0x49249d9b0b8c006b	-0x12f052d53f204ed4	0	380	380	1	1	1
0x45	-0x4169bd84947842c2	-0x12f7aa112a34da08	0	483	484	1	1	1
0x1f	-0x5f1b4e314a65f0c7	-0x12ff376ede9ad1e3	181	240	421	3	1	1
0x4a	-0x23483363d0383ee8	-0x1302ecab350ab03	106	116	230	2	0	0
0x1e	-0x42f451bb9decba8f	-0x1303893c81545b70	0	232	232	1	1	1
0x53	-0x5fbe8497d974fe69	-0x13040bbd79445f23	91	499	590	2	1	1
0x24	-0x7b741cb38e1e45cd	-0x130d201793c1730e	0	484	497	1	0	0
0xfd	-0x22a710a75b39a56f	-0x13129f17ad67ddd8	0	327	636	1	0	0
0x4a	-0x687035556b1b44fd	-0x1313b41ae5204716	0	221	229	1	0	0
0x30	-0x1d69d0091a969ef7	-0x1314f845f5ca8dfc	0	610	630	1	0	0
0x70	-0x6ffc6ee8cace5d14	-0x131a298fdb537ca8	0	451	462	1	0	0
0xf1	-0x57211e5330abd8e3	-0x131afe1ed3f2f385	0	186	473	1	0	0
0x5c	0x6987355baf67fd5f	-0x131b986a4187967f	0	133	133	1	0	0
0x101	-0x6f39ad0962220fd0	-0x132097370f693006	8	110	426	2	0	0
0x3e	-0x4f90a1c5fd14dff0	-0x132d1d278a942c6f	0	435	435	1	1	1
0x5c	0x1eb892352bac170c	-0x132e6b16285d2cb1	0	66	66	1	0	0
0x114	0x392df8a259ea5671	-0x1335bb56cb01afae	0	82	572	1	0	0
0x52	0x2dc0e0c664f4dc98	-0x133810a230ee88c1	0	119	119	1	0	0
0x32	-0x7a6e77ec043d7943	-0x133cc9dd8cbcbc05	0	504	504	3	0	0
0xc2	0x74186086de92f689	-0x133e0304983ed769	0	125	317	1	1	1
0x18	-0x20f23e5c53977b82	-0x1343c0d00ce0bcc5	0	376	377	1	0	0
0x53	-0x32de27a0672a4e04	-0x1349056b3cca8795	0	589	589	1	1	1
0xcd	0x7c570c9f51679b4b	-0x134d4883db9beb31	0	352	539	1	0	0
0xf1	0x2c9bedac38c68974	-0x1350394536d4fd4a	0	173	460	1	0	0
0x5d	0x3f3c3e790b5f1eb9	-0x1355c19e020c201e	0	252	265	1	0	0
0xe8	0x53081265164a60db	-0x13790028a04efeac	0	66	361	2	0	0
0xd5	0x576965d7a20021ec	-0x137c4baeda5028ca	60	189	480	2	0	0
0xe8	0x440d891b318ad79b	-0x137eeda9e2b39cb6	1	200	496	3	0	0
0xee	0x6e513a5fdf764a69	-0x1385ca9124b3bd6d	120	189	595	5	0	0
0xef	-0x5583b614e4f779ea	-0x138b15c564c62a02	0	269	507	1	0	0
0x44	0x2afd25057d7be4f	-0x138b424f1f85753a	0	65	70	2	0	0
0x5f	0x4635d91ad81a2e04	-0x138c7c3aaea19064	0	600	600	1	0	0
0xf2	-0x1400d4f50201c1c	-0x138cc8dce4f6df8	0	332	624	1	1	1
0x42	0x524068e36d1392c	-0x13924de899eef2f7	0	347	347	1	0	0
0x54	0x11b2d6434d2844b0	-0x1393179e4a4079de	159	101	274	2	0	1
0xff	0x48835267d4e51b48	-0x139ec1859f7a1c1b	0	140	454	1	0	0
